,Achnanthidium,Amphora,Aulacoseira,Brachysira,Caloneis,Cavinula,Cocconeis,Craticula,Cyclotella,Cyclostephanos,Cymbella,Cymbopluera,Denticula,Diatoma,Diploneis,Discostella,Encyonema,Encyonopsis,Eolimna,Eucocconeis,Eunotia,Epithemia,Fragilaria,Frustulia,Gomphonema,Hannaea,Kobayasiella,Luticola,Melosira,Navicula,Neidiume,Nitzschia,Nupela,Odontidium,Planothidium,Pinnularia,Psammothidium,Pseudostaurosira,Rhoicosphenia,Rhopalodia,Rossithidium,Sellaphora,Stauroneis,Staurosira,Staurosirella,Stenopterobia,Stephanodiscus,Surirella,Tabellaria,Tetracyclus,Ulnaria,
CJ-121-S,73,0,5,3,0,3,2,0,0,0,1,1,0,1,1,12,3,9,0,0,1,2,8,2,3,1,3,0,1,32,1,4,0,0,0,3,6,89,0,0,2,3,0,0,38,0,0,0,46,0,11,
CJ-001-D,84,0,0,13,0,0,1,0,0,0,0,0,0,17,0,219,4,2,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,13,
CJ-003-D,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,573,2,1,0,0,0,0,2,0,0,1,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,9,0,0,
CJ-020-D,231,0,8,11,0,0,0,0,0,0,0,0,0,0,0,157,0,1,0,0,1,0,2,0,0,1,0,0,0,9,0,23,0,0,0,1,2,28,0,0,0,0,0,1,4,0,0,0,2,0,0,
CJ-023-D,22,0,142,10,0,3,1,0,0,0,1,0,0,0,0,65,0,5,0,0,4,0,6,0,1,1,0,0,0,20,0,5,2,0,0,2,3,2,5,0,5,1,0,0,16,0,0,0,36,0,1,
CJ-032-D,64,0,93,0,0,0,1,0,0,0,0,0,0,0,0,65,0,5,2,0,0,0,1,0,0,0,0,0,0,9,0,8,0,0,0,0,0,63,0,0,0,0,0,0,11,0,0,0,0,0,0,
CJ-039-D,43,0,142,7,1,0,0,0,0,0,0,0,0,0,0,14,2,9,0,0,0,1,7,1,3,0,0,0,0,23,0,18,0,0,0,1,0,2,0,0,1,1,0,1,11,0,0,0,25,0,1,
CJ-043-D,26,0,1,5,3,0,0,0,0,0,1,0,0,16,0,105,2,4,0,5,2,5,110,0,2,7,0,0,0,10,0,4,0,0,0,0,0,11,0,0,0,0,0,0,4,1,0,0,4,0,2,
CJ-051-D,26,0,30,11,0,1,0,0,0,0,1,0,0,0,0,171,1,5,0,0,0,2,0,0,2,0,1,0,0,10,0,4,0,0,1,1,3,5,0,0,4,0,0,0,15,0,0,0,10,0,1,
CJ-097-D,21,0,68,9,0,1,0,0,0,0,0,0,0,0,1,16,7,13,0,0,2,1,1,7,6,0,3,0,0,41,1,73,1,0,0,4,1,0,0,0,0,3,1,0,1,0,0,0,23,0,0,
CJ-121-D,83,0,4,10,1,2,1,0,1,0,3,1,1,5,0,53,0,6,0,0,2,0,4,0,6,1,0,0,0,15,0,4,0,0,0,0,6,75,0,0,0,2,0,1,53,0,0,0,14,0,6,
