"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Nitzschia.cf.oberheimiana.Alkalinity+waterT+Zmax_m","Alkalinity+waterT+Zmax_m","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",266.635009109065,275.784111675747,0.33689,NA,17,2,2.705,2.654,0.026,0.025,0,0,0,1,0,1,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Fe+mix_event","Fe+mix_event","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",266.763348337143,275.963263424168,0.32722,NA,13,2,2.834,2.834,0.025,0.023,0,0,0,0,1,0,0,1,0,0,0,0,0
"Nitzschia.cf.oberheimiana.K+Mg+mix_event","K+Mg+mix_event","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.1127479411,276.261850507782,0.2653,NA,17,2,3.183,3.132,0.021,0.02,0,1,1,0,0,0,0,1,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.184328581829,276.333431148511,0.32005,NA,17,6,3.255,3.204,0.02,0.019,0,0,0,0,1,0,0,0,0,1,0,1,0
"Nitzschia.cf.oberheimiana.Fe+Zmax_m","Fe+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.216971418827,276.416886505853,0.38109,NA,13,3,3.287,3.287,0.02,0.019,0,0,0,0,1,0,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Zmax_m","Zmax_m","s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.25278599837,275.574942177167,0.36617,NA,9,1,3.323,2.445,0.019,0.028,0,0,0,0,0,0,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.bare_rock+Ca","bare_rock+Ca","s(bare_rock, k = 5, bs = ""cr"") + s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.264156481147,276.464071568172,0.23651,NA,13,2,3.334,3.334,0.019,0.018,1,0,0,0,0,0,0,0,0,0,0,0,1
"Nitzschia.cf.oberheimiana.bare_rock+Zmax_m","bare_rock+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.300961787379,276.500876874404,0.38648,NA,13,2,3.371,3.371,0.019,0.018,0,0,0,0,0,0,0,0,0,1,0,0,1
"Nitzschia.cf.oberheimiana.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.336011834963,276.485114401645,0.32586,NA,17,4,3.406,3.355,0.019,0.018,0,0,1,0,0,0,0,1,0,1,0,0,0
"Nitzschia.cf.oberheimiana.secchi_m+Zmax_m","secchi_m+Zmax_m","s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.383432094627,276.583347181653,0.33089,NA,13,3,3.454,3.454,0.018,0.017,0,0,0,0,0,0,0,0,1,1,0,0,0
"Nitzschia.cf.oberheimiana.waterT+Zmax_m","waterT+Zmax_m","s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.514901028489,276.714816115515,0.36804,NA,13,1,3.585,3.585,0.017,0.016,0,0,0,0,0,1,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Mg+wetland","Mg+wetland","s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.610623050441,276.810538137466,0.20468,NA,13,2,3.681,3.681,0.016,0.015,0,1,0,0,0,0,0,0,0,0,0,1,0
"Nitzschia.cf.oberheimiana.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.817952420696,276.967054987378,0.36839,NA,17,4,3.888,3.837,0.015,0.014,0,0,0,0,1,0,0,1,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Altitude+Zmax_m","Altitude+Zmax_m","s(Altitude, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",267.968643882968,277.168558969993,0.37316,NA,13,4,4.039,4.039,0.014,0.013,0,0,0,0,0,0,0,0,0,1,1,0,0
"Nitzschia.cf.oberheimiana.Mg+mix_event","Mg+mix_event","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",268.334784200052,277.534699287077,0.32712,NA,13,2,4.405,4.405,0.011,0.011,0,1,0,0,0,0,0,1,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+waterT+Zmax_m","Fe+waterT+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",268.585714408345,277.734816975027,0.38227,NA,17,4,4.656,4.605,0.01,0.01,0,0,0,0,1,1,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Fe+secchi_m+Zmax_m","Fe+secchi_m+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",268.626078030095,277.775180596777,0.34976,NA,17,5,4.696,4.646,0.01,0.009,0,0,0,0,1,0,0,0,1,1,0,0,0
"Nitzschia.cf.oberheimiana.Mg+wetland+Zmax_m","Mg+wetland+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",268.681141584551,277.830244151233,0.24241,NA,17.17,5,4.751,4.701,0.01,0.009,0,1,0,0,0,0,0,0,0,1,0,1,0
"Nitzschia.cf.oberheimiana.K+waterT+Zmax_m","K+waterT+Zmax_m","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",269.021381924214,278.170484490896,0.32983,NA,17,4,5.092,5.041,0.008,0.008,0,0,1,0,0,1,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Fe+Mg+wetland","Fe+Mg+wetland","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",269.189900655839,278.339003222521,0.21228,NA,17,4,5.26,5.209,0.007,0.007,0,1,0,0,1,0,0,0,0,0,0,1,0
"Nitzschia.cf.oberheimiana.K+Mg+Zmax_m","K+Mg+Zmax_m","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",269.262877123114,278.411979689796,0.32834,NA,17,4,5.333,5.282,0.007,0.007,0,1,1,0,0,0,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Mg+mix_event+Zmax_m","Mg+mix_event+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",269.535718636291,278.684821202973,0.36365,NA,17,4,5.606,5.555,0.006,0.006,0,1,0,0,0,0,0,1,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Mg+Zmax_m","Mg+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",269.610389861019,278.810304948044,0.37098,NA,13,3,5.681,5.681,0.006,0.006,0,1,0,0,0,0,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.Fe+Mg+mix_event","Fe+Mg+mix_event","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",269.963035374094,279.112137940776,0.33206,NA,17,4,6.033,5.982,0.005,0.005,0,1,0,0,1,0,0,1,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+Mg+Zmax_m","Fe+Mg+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",270.632294931494,279.781397498176,0.38243,NA,17,5,6.703,6.652,0.004,0.003,0,1,0,0,1,0,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.bare_rock+Mg+Zmax_m","bare_rock+Mg+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",270.684479137476,279.833581704157,0.38846,NA,17,4,6.755,6.704,0.003,0.003,0,1,0,0,0,0,0,0,0,1,0,0,1
"Nitzschia.cf.oberheimiana.Mg+secchi_m+Zmax_m","Mg+secchi_m+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",270.754410157906,279.903512724587,0.33562,NA,17,5,6.825,6.774,0.003,0.003,0,1,0,0,0,0,0,0,1,1,0,0,0
"Nitzschia.cf.oberheimiana.Mg+waterT+Zmax_m","Mg+waterT+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",270.79149745576,279.940600022442,0.36302,NA,17,3,6.862,6.811,0.003,0.003,0,1,0,0,0,1,0,0,0,1,0,0,0
"Nitzschia.cf.oberheimiana.bare_rock","bare_rock","s(bare_rock, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",270.892862052014,279.215018230812,0.25677,NA,9,2,6.963,6.085,0.003,0.005,0,0,0,0,0,0,0,0,0,0,0,0,1
"Nitzschia.cf.oberheimiana.Altitude+Mg+Zmax_m","Altitude+Mg+Zmax_m","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",271.223659657123,280.372762223805,0.37829,NA,17,6,7.294,7.243,0.003,0.003,0,1,0,0,0,0,0,0,0,1,1,0,0
"Nitzschia.cf.oberheimiana.bare_rock+Mg","bare_rock+Mg","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",273.07344516104,282.273360248066,0.25609,NA,13,4,9.144,9.144,0.001,0.001,0,1,0,0,0,0,0,0,0,0,0,0,1
"Nitzschia.cf.oberheimiana.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",273.766349016433,282.08850519523,0.5246,NA,9,5,9.837,8.959,0.001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.lake_catch_ratio+Mg","lake_catch_ratio+Mg","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",275.431251806751,284.631166893776,0.53119,NA,13,7,11.502,11.502,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Ca+Fe","Ca+Fe","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",275.91098489607,285.110899983095,0.29818,NA,13,2,11.981,11.981,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",276.306804516581,285.455907083263,0.32398,NA,17.02,3,12.377,12.326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Nitzschia.cf.oberheimiana.Ca","Ca","s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",276.44052748371,284.762683662508,0.27856,NA,9,0,12.511,11.633,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Ca+secchi_m","Ca+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",276.874911952003,286.074827039028,0.28634,NA,13,3,12.945,12.945,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Nitzschia.cf.oberheimiana.Ca+waterT","Ca+waterT","s(Ca, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",277.122957801576,286.322872888602,0.28932,NA,13,1,13.193,13.193,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",277.516618024678,286.66572059136,0.31041,NA,17,3,13.587,13.536,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.K","K","s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",278.757058999386,287.079215178184,0.28592,NA,9,0,14.827,13.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+K","Fe+K","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",279.226329673977,288.426244761002,0.2917,NA,13.06,2,15.297,15.297,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.K+secchi_m","K+secchi_m","s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",279.458506930046,288.658422017071,0.28786,NA,13,2,15.529,15.529,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Nitzschia.cf.oberheimiana.Altitude","Altitude","s(Altitude, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",280.465662492192,288.78781867099,0.32785,NA,9,3,16.536,15.658,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Nitzschia.cf.oberheimiana.Fe","Fe","s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",280.595695111102,288.917851289899,0.30938,NA,9,2,16.666,15.788,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.K+waterT","K+waterT","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",280.699406471407,289.899321558432,0.29282,NA,13,3,16.77,16.77,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+K+secchi_m","Fe+K+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",280.794663329593,289.943765896275,0.29457,NA,17.02,4,16.865,16.814,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"Nitzschia.cf.oberheimiana.K+Mg","K+Mg","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",280.807186856401,290.007101943426,0.28842,NA,13,3,16.877,16.877,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.secchi_m","secchi_m","s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",280.874557623977,289.196713802775,0.27699,NA,9,2,16.945,16.067,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Nitzschia.cf.oberheimiana.null","null","s(Latitude, Longitude, k = 5)",281.117048235187,287.796739623404,0.2921,NA,5,0,17.187,14.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+secchi_m","Fe+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",281.199326147561,290.399241234587,0.29579,NA,13,4,17.27,17.27,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Nitzschia.cf.oberheimiana.waterT","waterT","s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",281.358054114538,289.680210293335,0.30568,NA,9,1,17.428,16.551,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Alkalinity","Alkalinity","s(Alkalinity, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",281.371034724539,289.693190903337,0.30478,NA,9,2,17.441,16.564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+waterT","Fe+waterT","s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",281.655435644616,290.855350731642,0.32415,NA,13,3,17.726,17.726,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Alkalinity+waterT","Alkalinity+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",281.696315668255,290.89623075528,0.34419,NA,13,3,17.767,17.767,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Mg","Mg","s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",281.929409951852,290.25156613065,0.30422,NA,9,2,18,17.122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Altitude+Mg","Altitude+Mg","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",282.002387419518,291.202302506544,0.34174,NA,13,5,18.073,18.073,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Nitzschia.cf.oberheimiana.Fe+K+waterT","Fe+K+waterT","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",282.034940426725,291.184042993406,0.3014,NA,17.03,5,18.105,18.054,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+K+Mg","Fe+K+Mg","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",282.096302066366,291.245404633048,0.29272,NA,17,5,18.167,18.116,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+Mg","Fe+Mg","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",282.26725387927,291.467168966296,0.3148,NA,13,4,18.338,18.338,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.K+Mg+secchi_m","K+Mg+secchi_m","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",282.398366766844,291.547469333525,0.28765,NA,17,5,18.469,18.418,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"Nitzschia.cf.oberheimiana.Mg+secchi_m","Mg+secchi_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",282.515026707733,291.714941794758,0.28961,NA,13,4,18.585,18.585,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Nitzschia.cf.oberheimiana.Mg+waterT","Mg+waterT","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",283.243531811955,292.44344689898,0.31256,NA,13,3,19.314,19.314,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.K+Mg+waterT","K+Mg+waterT","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",283.646300824357,292.795403391039,0.29565,NA,17,5,19.717,19.666,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+Mg+secchi_m","Fe+Mg+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",283.814177653697,292.963280220379,0.30088,NA,17,6,19.884,19.834,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Nitzschia.cf.oberheimiana.Fe+Mg+waterT","Fe+Mg+waterT","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",284.4179741962,293.567076762881,0.3262,NA,17,5,20.488,20.437,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Pseudostaurosira.laucensis.Fe+waterT+Zmax_m","Fe+waterT+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",331.720537649965,340.869640216647,0.0174,NA,17,4,0,0,0.269,0.27,0,0,0,0,1,1,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.Alkalinity+waterT+Zmax_m","Alkalinity+waterT+Zmax_m","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",332.278284132373,341.427386699055,0.0766,NA,17,3,0.558,0.558,0.203,0.204,0,0,0,1,0,1,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.waterT+Zmax_m","waterT+Zmax_m","s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",332.308983594551,341.508898681576,0.01662,NA,13,2,0.588,0.639,0.2,0.196,0,0,0,0,0,1,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.K+waterT+Zmax_m","K+waterT+Zmax_m","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",333.224227837078,342.373330403759,0.01489,NA,17,4,1.504,1.504,0.127,0.127,0,0,1,0,0,1,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.Mg+waterT+Zmax_m","Mg+waterT+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",333.321469608603,342.470572175285,0.01801,NA,17,5,1.601,1.601,0.121,0.121,0,1,0,0,0,1,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.Alkalinity+Zmax_m","Alkalinity+Zmax_m","s(Alkalinity, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",337.918450570651,347.118365657676,0.09699,NA,13,3,6.198,6.249,0.012,0.012,0,0,0,1,0,0,0,0,0,1,0,0,0
"Pseudostaurosira.laucensis.bare_rock+Mg+Zmax_m","bare_rock+Mg+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",338.688300009536,347.837402576218,0.0618,NA,17,3,6.968,6.968,0.008,0.008,0,1,0,0,0,0,0,0,0,1,0,0,1
"Pseudostaurosira.laucensis.Mg+mix_event+Zmax_m","Mg+mix_event+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",339.207716130354,348.356818697036,0.00022,NA,17,6,7.487,7.487,0.006,0.006,0,1,0,0,0,0,0,1,0,1,0,0,0
"Pseudostaurosira.laucensis.bare_rock+Zmax_m","bare_rock+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",339.660391305731,348.860306392756,0.0291,NA,13,5,7.94,7.991,0.005,0.005,0,0,0,0,0,0,0,0,0,1,0,0,1
"Pseudostaurosira.laucensis.Mg+wetland+Zmax_m","Mg+wetland+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",340.120195696505,349.269298263187,0.02452,NA,17,6,8.4,8.4,0.004,0.004,0,1,0,0,0,0,0,0,0,1,0,1,0
"Pseudostaurosira.laucensis.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",340.674067078309,349.823169644991,0.00013,NA,17,6,8.954,8.954,0.003,0.003,0,0,0,0,1,0,0,1,0,1,0,0,0
"Pseudostaurosira.laucensis.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",340.777451374614,349.926553941296,0.0143,NA,17,6,9.057,9.057,0.003,0.003,0,0,0,0,1,0,0,0,0,1,0,1,0
"Pseudostaurosira.laucensis.Fe+secchi_m+Zmax_m","Fe+secchi_m+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",340.813230140079,349.962332706761,0.03315,NA,17,6,9.093,9.093,0.003,0.003,0,0,0,0,1,0,0,0,1,1,0,0,0
"Pseudostaurosira.laucensis.Mg+secchi_m+Zmax_m","Mg+secchi_m+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",340.818132446308,349.96723501299,0.03843,NA,17,5,9.098,9.098,0.003,0.003,0,1,0,0,0,0,0,0,1,1,0,0,0
