"","Ca","Mg","Alkalinity","SO4","Si","Altitude","secchi_m","Fe","erosion_prop","lake_catch_ratio","mix_event","waterT"
"CJ-039-S",2.7183771123549,1.60151678365001,2.78179126527535,1.4983105537896,2.15035725799852,3.59552377770781,0.942008053022313,-0.408935392973501,429.226152511703,1.18361144921843,3.73377887825199,0.882524537954881
"CJ-043-S",2.78049733058082,1.90124030207331,2.91436960542991,1.60021030640933,2.14949623346574,3.57706073828134,1.01494034979294,-0.443697499232713,813.450256622985,1.40000234592796,3.81844034780952,0.930949031167523
"CJ-051-S",2.78049733058082,2.5991076337705,2.91436960542991,1.87650650426588,1.98389679132631,3.58458561926804,1.01072386539177,0.217483944213906,239.05798459788,1.41702305042196,4.02128235220358,0.923244018630276
"CJ-097-S",2.60449605277107,1.90124030207331,2.67710485173431,1.75204844781944,1.93323412871481,3.59870845345521,0.942008053022313,-0.568636235841013,198.062692095205,0.92649678927322,4.40981904267791,0.94101424370557
"CJ-121-S",3.06671717328623,1.90124030207331,3.08273152882018,1.52608069180203,2.07656763044494,3.56705578890775,0.942008053022313,-0.494850021680094,94.6902846125198,1.62785723263825,2.99749559965802,0.948412965778601
"CJ-001-D",3.0193032669544,2.20153367344338,3.04291006198173,0.648360010980932,1.80174661921946,3.49862065339714,0.966141732739033,-0.283996656365201,198.045878523134,2.40283375783253,3.62810782501823,1.09864372581706
"CJ-003-D",2.88312178005941,2.64047149876788,2.93381617425738,1.17114115102838,1.97717467602019,3.59298128922869,0.841984804590114,-0.468521082957745,421.860794575651,1.43912734244285,4.10500747482416,1.02407498730743
"CJ-020-D",2.90539106957401,2.07685881012859,2.61177639699731,2.56946754792544,2.01720034352384,3.61407950927518,1.28443073384452,-0.408935392973501,217.768661657273,1.21168107629914,4.69189668717077,0.976808337338066
"CJ-023-D",2.55876855181658,2.07685881012859,2.72562581821306,1.02816441942447,1.92762696244495,3.59870845345521,0.942008053022313,-0.301029995663981,317.883626505047,1.5991076337705,3.95646858563411,1.02857125269254
"CJ-024-D",2.7183771123549,2.07685881012859,2.72562581821306,1.70113606609253,1.81204389793023,3.61576598957189,1.41912930774198,-0.408935392973501,364.850037686719,1.08682235709906,4.4973340175194,0.966141732739033
"CJ-039-D",2.68363231052613,2.20156097811674,2.81574373131192,0.367355921026019,2.11344195396532,3.59552377770781,0.924279286061882,-0.443697499232713,429.226152511703,1.18361144921843,3.73377887825199,0.974511692737328
"CJ-043-D",2.80851480521437,1.60151678365001,2.69077180318066,1.4983105537896,2.16103841242296,3.57706073828134,1.02734960777476,-0.568636235841013,813.450256622985,1.40000234592796,3.81844034780952,1.07518185461869
"CJ-051-D",2.7183771123549,2.20156097811674,2.81574373131192,0.645422269349092,1.85781477797101,3.58458561926804,1.00860017176192,0.217483944213906,239.05798459788,1.41702305042196,4.02128235220358,1.04178731897175
"CJ-097-D",2.44970975557137,1.60151678365001,2.56590682206766,0.812913356642856,1.55509444857832,3.59870845345521,0.905795880367869,-0.568636235841013,198.062692095205,0.92649678927322,4.40981904267791,1.04218159451577
"CJ-121-D",3.0193032669544,2.37743375170339,3.0264719768761,1.02816441942447,1.99228835379709,3.56705578890775,0.835690571492426,-0.494850021680094,94.6902846125198,1.62785723263825,2.99749559965802,0.997386384397313
"CJ-001-F",2.98238431583721,2.0746336182969,3.0264719768761,1.43695733066945,1.93120352545075,3.49862065339714,0.931966114728173,-0.283996656365201,198.045878523134,2.40283375783253,3.62810782501823,1.06258198422816
"CJ-003-F",2.8326685504518,2.07470675647187,2.91256744108338,1.40226138245468,2.00509467507255,3.59298128922869,0.946943270697825,-0.468521082957745,421.860794575651,1.43912734244285,4.10500747482416,1.02938377768521
"CJ-020-F",2.80634958714047,1.89905406799817,2.56590682206766,2.3799035074515,2.08976385449169,3.61407950927518,1.28443073384452,-0.408935392973501,217.768661657273,1.21168107629914,4.69189668717077,0.989004615698537
"CJ-023-F",2.50548913841672,1.89905406799817,2.61156400208812,1.27875360095283,1.96236933567002,3.59870845345521,0.942008053022313,-0.301029995663981,317.883626505047,1.5991076337705,3.95646858563411,0.999130541287371
"CJ-024-F",2.60233134059134,2.19939860235962,2.65306772481521,1.36492603378998,1.93166123968448,3.61576598957189,1.38471174293828,-0.408935392973501,364.850037686719,1.08682235709906,4.4973340175194,0.992553517832136
"CJ-039-F",2.64369936463931,2.07470675647187,2.61156400208812,1.36492603378998,2.10537391414385,3.57706073828134,0.88930170250631,-0.443697499232713,429.226152511703,1.18361144921843,3.73377887825199,1.06032002868829
"CJ-043-F",2.80634958714047,2.07470675647187,2.81561094999715,1.4983105537896,2.1144775399288,3.59552377770781,1.03140846425162,-0.568636235841013,813.450256622985,1.40000234592796,3.81844034780952,1.09096307659573
"CJ-051-F",2.68146737353373,1.89905406799817,2.78763755687842,1.27875360095283,1.95356641425701,3.57706073828134,0.966141732739033,0.217483944213906,239.05798459788,1.41702305042196,4.02128235220358,1.04257551244019
"CJ-097-F",2.38066339634058,1.89905406799817,2.72562581821306,1.27875360095283,1.89142594284799,3.58458561926804,0.916453948549925,-0.568636235841013,198.062692095205,0.92649678927322,4.40981904267791,1.02612451674545
"CJ-121-F",2.9639058261187,1.89905406799817,2.78763755687842,1.46864266839151,2.04028579893249,3.59870845345521,0.916453948549925,-0.494850021680094,94.6902846125198,1.62785723263825,2.99749559965802,1.088844562727
